"In the best of times, having, #Biden -#Harris leading the USA would be a national embarrassment. In these, the worst of times for security and prosperity, having that pitiful team is a catastrophe for the whole globe",-2
"When the journalist is telling you what the candidates saying instead of letting you hear their words #60Minutes shows himself to be nothing but a joke. Political propaganda like #Pravda joining #CNN #MSNBC 
@abc
 etc but when they're pushing a liar like #Harris #AmericanDream gone",-1
"Commie #Kamela quotes Karl Marx daily. She hates us, and wants us to suffer. #Harris #LockHerUp #Treason",-2
Who do you trust more on the economy? #Trump #Harris,0
"People are discovering a new book called ""The Achievements of Kamala #Harris"" in #Walmart locations across the U.S. and it’s full of blank pages.

It already has 87 reviews on Amazon, with comments like ‘Loved this book, very informative.’",-1
"Kamala en une de Vague ??

#Harris #Trump",1
"If showing empathy and compassion for human tragedy sounds #Trumpy or #MAGA then sign me up! The tolerant left are big mad at #mommatot, so mad they’re defending #FEMA. ???????????????????????? #MommaToT loves everyone. The best is folks mad all all in for #Harris. So they can post whatever but don’t you dare show compassion for Americans! Ask question and they run! Typical leftist behavior.",-1
#NateSilver latest.  Race tightens #Harris v. #Trump,0
#Harris is a fraud. She cannot answer coherent all by herself. OMG.,-2
Do we love one another? We could learn some lessons from these two about how to treat one another. #OneLove #VoteBlue #Harris/Walz ??,1
"Thank you ?
@GovTimWalz
? for all you are doing to save democracy. #Harris/Walz",1
"Interesting how politicians do their best to promote themselves when it's not about them. #Harris is a mess.
""All the storms I've dealt with under this administration, she has never called in Florida or offered any support."" -Desantis",-1
"Black women: 85% #Harris, 8% #Trump.

Black men: 72% Harris, 20% Trump.

White women: 45% Harris, 50% Trump.

White men: 36% Harris, 59% Trump

Hispanic women: 56% Harris, 37% Trump.

Hispanic men: 53% Harris, 39% Trump.",0
"#Biden & #Harris stole $3,5 billion from the reserves of ????, money that belongs to the Afghan people (not the Taliban)

This money was taken 'to pay to the 9/11 victims' (why should the Afghan people pay for that?)

<50 days until elections: no 9/11 victim ever received even $1,-",-2
"#Obama Urges Black Voters to Support #Harris and Criticizes #Trump

Obama in an #election campaign condemned Trump for lying and disrespecting #Black communities and #immigrants, which may bring Harris more supporters.
??: douyin xinjingbao",0
"I miss you so much, 
@BarackObama
. Thanks for helping everyone in PA. You’re the GOAT. #obama #harris #voteblue",1
"No way America can be dumb enough to elect #Harris, having said that, look shag we in the UK have just done ??",-2
"1. Make yourself special and apart from the crowd.
2. Compare Trump to Biden since you have nothing on #Harris
3. Make a suicidal maniac look heroic.
4. Try desperately to make the crowd cheer and fail. 
5. Make the most cringe speech in American history.

Thou are now #Musk",-3
"One thing I love about #KamalaHarris is how multidimensional are her interests. She is very human. Video 
@MSNBC",1
"The absolute look of disdain  
@VP
 gives Johnson when he stands up for the very first time almost an hour in! You can just see the eye roll! She’s good, very very good! 
#KamalaHarris",2
